,file_name,measure_name,time_slice_start,time_slice_end,agg_type,measure_value,5.4.1
33,Run 3 Bottom Debris Panel Production Exhaust Tube Wabco App BOOST 442Kw_29C_4_22_25.csv,PercentLoadAtCurrentSpeed,40,320,mean,100.0,
34,Run 3 Bottom Debris Panel Production Exhaust Tube Wabco App BOOST 442Kw_29C_4_22_25.csv,PercentLoadAtCurrentSpeed,40,320,min,100.0,
35,Run 3 Bottom Debris Panel Production Exhaust Tube Wabco App BOOST 442Kw_29C_4_22_25.csv,PercentLoadAtCurrentSpeed,40,320,st dev,0.0,
36,Run 3 Bottom Debris Panel Production Exhaust Tube Wabco App BOOST 442Kw_29C_4_22_25_edaq_export.csv,AT_ExThCondt,40,320,max,138.301071166992,
37,Run 3 Bottom Debris Panel Production Exhaust Tube Wabco App BOOST 442Kw_29C_4_22_25_edaq_export.csv,AT_ExThCondt,40,320,mean,138.01932626092992,
38,Run 3 Bottom Debris Panel Production Exhaust Tube Wabco App BOOST 442Kw_29C_4_22_25_edaq_export.csv,AT_ExThCondt,40,320,min,137.700668334961,
39,Run 3 Bottom Debris Panel Production Exhaust Tube Wabco App BOOST 442Kw_29C_4_22_25_edaq_export.csv,AT_ExThCondt,40,320,st dev,0.1375256071232262,
40,Run 3 Bottom Debris Panel Production Exhaust Tube Wabco App BOOST 442Kw_29C_4_22_25_edaq_export.csv,AT_TC_13,40,320,max,218.159057617188,fail
41,Run 3 Bottom Debris Panel Production Exhaust Tube Wabco App BOOST 442Kw_29C_4_22_25_edaq_export.csv,AT_TC_13,40,320,mean,215.66877752012206,
42,Run 3 Bottom Debris Panel Production Exhaust Tube Wabco App BOOST 442Kw_29C_4_22_25_edaq_export.csv,AT_TC_13,40,320,min,212.463165283203,
43,Run 3 Bottom Debris Panel Production Exhaust Tube Wabco App BOOST 442Kw_29C_4_22_25_edaq_export.csv,AT_TC_13,40,320,st dev,1.0431071549423825,
44,Run 3 Bottom Debris Panel Production Exhaust Tube Wabco App BOOST 442Kw_29C_4_22_25_edaq_export.csv,AT_TC_18,40,320,max,191.439498901367,pass
45,Run 3 Bottom Debris Panel Production Exhaust Tube Wabco App BOOST 442Kw_29C_4_22_25_edaq_export.csv,AT_TC_18,40,320,mean,188.46116632753424,
46,Run 3 Bottom Debris Panel Production Exhaust Tube Wabco App BOOST 442Kw_29C_4_22_25_edaq_export.csv,AT_TC_18,40,320,min,186.180252075195,
47,Run 3 Bottom Debris Panel Production Exhaust Tube Wabco App BOOST 442Kw_29C_4_22_25_edaq_export.csv,AT_TC_18,40,320,st dev,0.9151967909430264,
48,Run 3 Bottom Debris Panel Production Exhaust Tube Wabco App BOOST 442Kw_29C_4_22_25_edaq_export.csv,AT_TC_20,40,320,max,148.194808959961,pass
49,Run 3 Bottom Debris Panel Production Exhaust Tube Wabco App BOOST 442Kw_29C_4_22_25_edaq_export.csv,AT_TC_20,40,320,mean,146.97462273322816,
50,Run 3 Bottom Debris Panel Production Exhaust Tube Wabco App BOOST 442Kw_29C_4_22_25_edaq_export.csv,AT_TC_20,40,320,min,146.291351318359,
51,Run 3 Bottom Debris Panel Production Exhaust Tube Wabco App BOOST 442Kw_29C_4_22_25_edaq_export.csv,AT_TC_20,40,320,st dev,0.3177182574025826,
52,Run 3 Bottom Debris Panel Production Exhaust Tube Wabco App BOOST 442Kw_29C_4_22_25_edaq_export.csv,AT_TC_5,40,320,max,158.831787109375,pass
53,Run 3 Bottom Debris Panel Production Exhaust Tube Wabco App BOOST 442Kw_29C_4_22_25_edaq_export.csv,AT_TC_5,40,320,mean,158.17332306451226,
54,Run 3 Bottom Debris Panel Production Exhaust Tube Wabco App BOOST 442Kw_29C_4_22_25_edaq_export.csv,AT_TC_5,40,320,min,157.636184692383,
55,Run 3 Bottom Debris Panel Production Exhaust Tube Wabco App BOOST 442Kw_29C_4_22_25_edaq_export.csv,AT_TC_5,40,320,st dev,0.2378049167686406,
56,Run 3 Bottom Debris Panel Production Exhaust Tube Wabco App BOOST 442Kw_29C_4_22_25_edaq_export.csv,SpdEngine,40,320,max,2002.75,
57,Run 3 Bottom Debris Panel Production Exhaust Tube Wabco App BOOST 442Kw_29C_4_22_25_edaq_export.csv,SpdEngine,40,320,mean,1995.0907473309608,
58,Run 3 Bottom Debris Panel Production Exhaust Tube Wabco App BOOST 442Kw_29C_4_22_25_edaq_export.csv,SpdEngine,40,320,min,1987.25,
59,Run 3 Bottom Debris Panel Production Exhaust Tube Wabco App BOOST 442Kw_29C_4_22_25_edaq_export.csv,SpdEngine,40,320,st dev,4.21145798602731,
60,Run 3 Bottom Debris Panel Production Exhaust Tube Wabco App BOOST 442Kw_29C_4_22_25_edaq_export.csv,V_EngBrkTorU,40,320,max,2131.0,
61,Run 3 Bottom Debris Panel Production Exhaust Tube Wabco App BOOST 442Kw_29C_4_22_25_edaq_export.csv,V_EngBrkTorU,40,320,mean,2116.8754448398577,
62,Run 3 Bottom Debris Panel Production Exhaust Tube Wabco App BOOST 442Kw_29C_4_22_25_edaq_export.csv,V_EngBrkTorU,40,320,min,2093.0,
63,Run 3 Bottom Debris Panel Production Exhaust Tube Wabco App BOOST 442Kw_29C_4_22_25_edaq_export.csv,V_EngBrkTorU,40,320,st dev,7.728574200744325,
64,Run 4 Bottom Debris Panel Production Exhaust Tube Wabco App BOOST 390Kw_29C_4_22_25.csv,AcceleratedDOCInletTemperature,40,240,max,464.01526,
65,Run 4 Bottom Debris Panel Production Exhaust Tube Wabco App BOOST 390Kw_29C_4_22_25.csv,AcceleratedDOCInletTemperature,40,240,mean,463.2621953233828,
66,Run 4 Bottom Debris Panel Production Exhaust Tube Wabco App BOOST 390Kw_29C_4_22_25.csv,AcceleratedDOCInletTemperature,40,240,min,462.18555,
67,Run 4 Bottom Debris Panel Production Exhaust Tube Wabco App BOOST 390Kw_29C_4_22_25.csv,AcceleratedDOCInletTemperature,40,240,st dev,0.4675513263867614,
68,Run 4 Bottom Debris Panel Production Exhaust Tube Wabco App BOOST 390Kw_29C_4_22_25.csv,PercentLoadAtCurrentSpeed,40,240,max,100.0,
69,Run 4 Bottom Debris Panel Production Exhaust Tube Wabco App BOOST 390Kw_29C_4_22_25.csv,PercentLoadAtCurrentSpeed,40,240,mean,100.0,
70,Run 4 Bottom Debris Panel Production Exhaust Tube Wabco App BOOST 390Kw_29C_4_22_25.csv,PercentLoadAtCurrentSpeed,40,240,min,100.0,
71,Run 4 Bottom Debris Panel Production Exhaust Tube Wabco App BOOST 390Kw_29C_4_22_25.csv,PercentLoadAtCurrentSpeed,40,240,st dev,0.0,
72,Run 4 Bottom Debris Panel Production Exhaust Tube Wabco App BOOST 390Kw_29C_4_22_25_edaq_export.csv,AT_ExThCondt,40,240,max,129.587463378906,
73,Run 4 Bottom Debris Panel Production Exhaust Tube Wabco App BOOST 390Kw_29C_4_22_25_edaq_export.csv,AT_ExThCondt,40,240,mean,129.23553557894118,
74,Run 4 Bottom Debris Panel Production Exhaust Tube Wabco App BOOST 390Kw_29C_4_22_25_edaq_export.csv,AT_ExThCondt,40,240,min,128.832778930664,
75,Run 4 Bottom Debris Panel Production Exhaust Tube Wabco App BOOST 390Kw_29C_4_22_25_edaq_export.csv,AT_ExThCondt,40,240,st dev,0.16777549760599159,
76,Run 4 Bottom Debris Panel Production Exhaust Tube Wabco App BOOST 390Kw_29C_4_22_25_edaq_export.csv,AT_TC_13,40,240,max,203.362609863281,fail
77,Run 4 Bottom Debris Panel Production Exhaust Tube Wabco App BOOST 390Kw_29C_4_22_25_edaq_export.csv,AT_TC_13,40,240,mean,202.13749702415657,
78,Run 4 Bottom Debris Panel Production Exhaust Tube Wabco App BOOST 390Kw_29C_4_22_25_edaq_export.csv,AT_TC_13,40,240,min,200.095504760742,
